"No.","Time","Source","Destination","Protocol","Length","Info"
"3382","341.912762100","141.226.124.48","192.168.0.106","TCP","66","443  >  55448 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1440 SACK_PERM WS=512"
"3593","342.657581100","192.168.0.106","103.43.90.53","TCP","66","[TCP Retransmission] 55440  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3595","342.889559600","192.168.0.106","103.43.90.53","TCP","66","[TCP Retransmission] 55460  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3672","345.163965300","192.168.0.106","34.111.211.209","TCP","66","55461  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3680","345.189350000","34.111.211.209","192.168.0.106","TCP","70","443  >  55461 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"3698","345.219476900","192.168.0.106","34.111.211.209","TCP","66","55462  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3704","345.243294200","34.111.211.209","192.168.0.106","TCP","66","443  >  55462 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"3811","345.552764100","34.111.211.209","192.168.0.106","TCP","66","[TCP Retransmission] 443  >  55462 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"3814","346.059464800","192.168.0.106","5.150.170.5","TCP","66","55464  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3816","346.285187700","192.168.0.106","5.150.170.5","TCP","66","55465  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3820","346.287726400","192.168.0.106","5.150.170.5","TCP","66","55466  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3821","346.290557400","5.150.170.5","192.168.0.106","TCP","66","443  >  55464 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=128"
"3842","346.459709500","5.150.170.5","192.168.0.106","TCP","66","443  >  55465 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=128"
"3844","346.459892900","5.150.170.5","192.168.0.106","TCP","66","443  >  55466 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=128"
"4035","347.129506600","192.168.0.106","142.251.222.206","TCP","66","55467  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4048","347.136872900","142.251.222.206","192.168.0.106","TCP","66","443  >  55467 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"4211","347.577196100","34.111.211.209","192.168.0.106","TCP","70","[TCP Retransmission] 443  >  55462 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"4387","347.963357700","192.168.0.106","99.86.182.9","TCP","66","55468  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4389","347.966244800","99.86.182.9","192.168.0.106","TCP","66","443  >  55468 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"4685","348.695886400","192.168.0.106","23.62.12.105","TCP","66","55469  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4687","348.702702400","23.62.12.105","192.168.0.106","TCP","66","443  >  55469 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"4738","349.090578900","192.168.0.106","150.171.27.10","TCP","66","55470  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4759","349.101609500","150.171.27.10","192.168.0.106","TCP","66","443  >  55470 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"4800","349.182861700","192.168.0.106","125.209.233.29","TCP","66","55471  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4906","349.305342900","125.209.233.29","192.168.0.106","TCP","70","443  >  55471 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1440 SACK_PERM WS=2048"
"5017","351.609333400","34.111.211.209","192.168.0.106","TCP","70","[TCP Retransmission] 443  >  55462 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"5044","351.986219100","192.168.0.106","150.171.22.12","TCP","66","55474  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5045","351.994632300","150.171.22.12","192.168.0.106","TCP","66","443  >  55474 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"5524","354.447735200","192.168.0.106","34.120.52.64","TCP","66","55475  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5531","354.472273000","34.120.52.64","192.168.0.106","TCP","66","443  >  55475 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"5956","358.919555600","192.168.0.106","104.18.33.206","TCP","66","55477  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5963","358.927010400","104.18.33.206","192.168.0.106","TCP","66","443  >  55477 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"6204","360.123855300","34.111.211.209","192.168.0.106","TCP","66","[TCP Retransmission] 443  >  55462 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"6662","360.828608600","192.168.0.106","103.43.90.53","TCP","66","55478  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6669","360.843543900","192.168.0.106","150.171.28.10","TCP","66","55479  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6672","360.850916700","150.171.28.10","192.168.0.106","TCP","66","443  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"6831","361.090918500","192.168.0.106","103.43.90.53","TCP","66","55480  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6889","361.394816300","192.168.0.106","104.18.33.206","TCP","66","55481  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6894","361.401980200","104.18.33.206","192.168.0.106","TCP","66","443  >  55481 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"7138","361.840559400","192.168.0.106","103.43.90.53","TCP","66","[TCP Retransmission] 55478  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7172","362.103990900","192.168.0.106","103.43.90.53","TCP","66","[TCP Retransmission] 55480  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7198","362.383076400","192.168.0.106","13.205.125.161","TCP","66","55482  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7200","362.383647100","192.168.0.106","13.126.140.245","TCP","66","55483  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7204","362.406285500","13.205.125.161","192.168.0.106","TCP","66","443  >  55482 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"7206","362.406935800","13.126.140.245","192.168.0.106","TCP","66","443  >  55483 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1440 SACK_PERM WS=256"
"7287","362.597163700","192.168.0.106","142.250.207.66","TCP","66","55484  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7288","362.604544800","142.250.207.66","192.168.0.106","TCP","66","443  >  55484 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"7551","363.550213900","192.168.0.106","142.251.221.163","TCP","66","55485  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7555","363.552608400","192.168.0.106","142.251.221.163","TCP","66","55486  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7557","363.557666100","142.251.221.163","192.168.0.106","TCP","66","443  >  55485 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"7561","363.559613300","142.251.221.163","192.168.0.106","TCP","66","443  >  55486 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"7692","363.843558600","192.168.0.106","103.43.90.53","TCP","66","[TCP Retransmission] 55478  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7693","363.889269200","192.168.0.106","142.250.207.66","TCP","66","55487  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7695","363.896592600","142.250.207.66","192.168.0.106","TCP","66","443  >  55487 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"7768","364.107833200","192.168.0.106","103.43.90.53","TCP","66","[TCP Retransmission] 55480  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7908","364.320705800","192.168.0.106","57.144.168.1","TCP","66","55488  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7910","364.321460700","192.168.0.106","23.11.215.219","TCP","66","55489  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7911","364.321982900","192.168.0.106","23.11.215.219","TCP","66","55490  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7912","364.322571600","192.168.0.106","23.11.215.219","TCP","66","55491  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7915","364.323060900","192.168.0.106","23.11.215.219","TCP","66","55492  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7916","364.323448400","192.168.0.106","23.11.215.219","TCP","66","55493  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7917","364.323535300","57.144.168.1","192.168.0.106","TCP","66","443  >  55488 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"7919","364.323875500","23.11.215.219","192.168.0.106","TCP","66","443  >  55489 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"7920","364.323887900","192.168.0.106","23.11.215.219","TCP","66","55494  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7925","364.326069200","23.11.215.219","192.168.0.106","TCP","66","443  >  55490 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"7926","364.326069200","23.11.215.219","192.168.0.106","TCP","66","443  >  55491 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"7927","364.326069200","23.11.215.219","192.168.0.106","TCP","66","443  >  55492 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"7935","364.330465100","23.11.215.219","192.168.0.106","TCP","66","443  >  55493 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"7937","364.330465100","23.11.215.219","192.168.0.106","TCP","66","443  >  55494 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"8193","375.308078000","192.168.0.106","34.107.243.93","TCP","66","55497  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8195","375.332340400","34.107.243.93","192.168.0.106","TCP","70","443  >  55497 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"8211","375.401909700","192.168.0.106","34.107.243.93","TCP","66","55498  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8213","375.434278800","34.107.243.93","192.168.0.106","TCP","70","443  >  55498 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"8230","376.038619500","192.168.0.106","151.101.157.91","TCP","66","55499  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8232","376.068461300","151.101.157.91","192.168.0.106","TCP","70","443  >  55499 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"8288","379.554338100","192.168.0.106","151.101.157.91","TCP","66","55501  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8294","379.583819000","151.101.157.91","192.168.0.106","TCP","70","443  >  55501 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"8667","458.642046700","192.168.0.106","20.189.173.26","TCP","66","55517  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"8669","458.867872800","20.189.173.26","192.168.0.106","TCP","66","443  >  55517 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"8901","497.819920900","192.168.0.106","57.144.169.32","TCP","66","55524  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8902","497.820592600","192.168.0.106","57.144.169.32","TCP","66","55525  >  5222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"8903","497.822230300","57.144.169.32","192.168.0.106","TCP","66","443  >  55524 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"8907","497.823239300","57.144.169.32","192.168.0.106","TCP","66","5222  >  55525 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"9085","528.232800900","192.168.0.106","52.123.226.83","TCP","66","55533  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"9089","528.504745100","52.123.226.83","192.168.0.106","TCP","66","443  >  55533 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
